tagalog,english,cebuano
ako y bingi at hindi kita naririnig,i m deaf and i can t hear you,bungol ako ug dili tikaa madungog
nagyaya ako ng dalawampung kaibigan sa pista,i invited twenty friends to the party,nangimbita ako og bayente ka higala sa pista
si ang nakikita mo,is what you see,si ang imong nakita
sa tingin mo ilang aklat na ang nabasa mo hanggang sa kasalukuyan,how many books do you think you have read so far,sa panan aw nimo pila na ka libro ang imong nabasa hantod karon
ano ang kulay ng buhok ni,what color is s hair,unsa ang kolor sa buhok ni
siya y lumalakad nang parang isang pato,he walks like a duck,ang iyang paglakaw sama sa usa ka pato
ang lolo ko y limang beses na mas matanda kaysa akin,my grandfather is five times older than me,ang imong lolo kay mas tigulang sa akoa og lima ka takna
maaari kang maghintay sa kwartong ito,you can wait in this room,mamahimo kang maghulat diri nga kwarto
umuwi ka at tawagan mo ang pulis,go home and call the police,uli na ug tawagi dayon ang pulis
kinailangan kong tumulong sa mga gawaing bahay,i had to help with the housework,gikinahanglan nako nga motabang sa mga trabahuon sa balay
marunong akong magmaneho ng kotse,i know how to drive a car,kabalo ko mag drayb og sakyanan
sila y naligo sa lawa,they bathed in the lake,naligo siya sa lawa
nakita ko iyan,i saw that,nakit an na nako na
siya y nagdalawang isip bago sumagot,he hesitated before answering,nagduha duha siya bag o nitubag
anong oras kayo natutulog,what time do you sleep,unsang oras mo nagatulog
hindi ko maintindihan bakit kailangan ang lahat ng mga ito,i don t understand why all these are needed,dili ko kasabot kung ngano ng kinahanglan ni sa tanan tao
kasama ko si,i m with,kauban nako si
ngayon ay sabado,today is saturday,karon kay adlaw sa sabado
hindi ko ginustong masaktan ka,i didn t want to hurt you,wala nako gituyo nga masakitan ka
iniligtas ng doktor ang apat na taong nasaktan sa aksidente,the doctor saved four people who were injured in the accident,gisalba sa doktor ang upat ka tawo nga nasakitan sa aksidente
dumaan kami sa isang makitid na daanan,we passed through a narrow passage,niagi mi sa usa ka suok nga dalan
magkano ang dapat kong bayaran,how much should i pay,pila ang akong dapat nga bayaran
ang anak kong babae ay bumibili ng gatas sa tindahan,my daughter buys milk at the store,ang akong anak nga babae kay nipalit og gatas sa tindahan
tingnan mo ang laki ng bagay na yan,look at the size of that thing,tan awa ang kadak on ana nga butang
wala akong ganang pumasyal ngayon,i don t feel like going out now,wala koy gana nga mosuroy karon
kailangan niyang pakainin ang kanyang malaking pamilya,he has to feed his large family,kinahanglan niya pakaunon ang iyang pamilya
gusto niya ang musika,he likes music,ganahan siya sa tugtog
ako rin,me too,ako pud
kanino ang bolpen na ito,whose pen is this,kakinsa ni ng bolpen
nagbibisikleta ako papuntang trabaho,i ride a bike to work,nagabayk ra ko padulong sa trabahoan
ako y may maraming kaibigan,i have many friends,daghang kog mga higala
maliwanag ang kanyang kwarto,his room is bright,hayag ang iyang kwarto
huwag mong kagatin ang iyong mga kuko,don t bite your nails,ayaw pagkitkit sa imong kuko
nag aaral ako ng ingles dahil may balak akong pumunta sa estados unidos,i am studying english because i plan to go to the united states,nagtuon ko og ingles kay aduna ko y plano moadto og estados unidos
gusto ko ng iba,i want something else,gusto ko og lahi
kapag papayagan mo akong magsalita maaari kong ipaliwanag ang lahat,if you allow me to speak i can explain everything,kung tugotan ko nimo mostorya pwede nako ng ipasabot sa imoha ang tanan
hindi pumupunta si sa kanyang opisina tuwing sabado,doesn t go to his office on saturdays,dili naga adto si sa iyang trabahoan kada sabado
maligayan raw ng mga ina,mothers are said to be happy,maayong adlaw sa mga inahan
paano ka nakapasok nasasayo ba ang susi,how did you get in do you have the key,giunsa nimo pagsulod diri naa ba sa imo ang susi
tayo ay umasa na ang suporta ay darating sa tamang oras,we hope that support will come in time,mosalig lang kita nga ang suporta mo abot sa saktong oras
umalis siya nang hindi nagpapaalam,he left without saying goodbye,nihawa siya nga wala nananghid
may tumawag ba sa akin nung ako ay nasalabas,did someone call me when i was out,naa y nangita sa akoa samtang naa ko sa gawas
gusto ko ang pagmamahal mo,i want your love,giganahan ko sa imong pag pangga
kung ako y nakakapagsalita ng ingles hindi sana nila ako pinagtawanan,if i could speak english they wouldn t have laughed at me,kung kabalo lang ko mag istorya og ingles dili unta ko nila kataw an karon
sabi nila na ang aksidente ay sanhi ng hindi mahusay na pagkakagawa ng gusali,they said the accident was caused by poor construction of the building,ingon sila ang aksidente kay tungod sa gabok nga pagkabuhat sa usa ka gambalay
ayoko ng gumawa sa ganitong kalagayan,i don t want to work in this situation,dili ko gusto mohimo og ingon ani nga sitwasyon
di ko maiging masarhan ang pinto,i can t close the door,dili nako masirado og maayo ang purtahan
sa tingin ko di ito maaaring mangyari,i think this cannot happen,sa akong panan aw dili ni dapat mahitabo
ang selpon mo y di kumikilos,your cell phone is not working,ang imong selpon kay dili molihok
saan nagbiyahe si,where did travel to,asa niadto si
nagbiyahe siya sa maraming bayan,he traveled to many towns,niadto siya sa daghang siyudad
lumago ang bulaklak nang maagang tagsibol,the flower grows in early spring,nibukhad ang bulak tungod sa sayo nga panahon
gusto mong maglakad pagkatapos ng hapunan,want to go for a walk after dinner,gusto ka molakaw paghuman og panihapon
gusto kita dahil sa iyong pag unawa,i like you because of your understanding,ganahan ko sa imo tungod sa imong pagkamasinabtanon
magtatagpo kami ni lisa nitong hapon,lisa and i will meet this afternoon,magkita mi ni lisa karong hapon
magbasa ka kung saan ka tumigil,read where you left off,pagbasa kung asa ka moundang
iyon ay sa mga kuwento lamang,that s just in the stories,sa mga istorya lamang
ikaw ay kasing tangkad ko,you are as tall as me,kitang duha pareho ka tangkad
hinihiling kong magkaroon ka ng isang maligayang kaarawan,i wish you a happy birthday,unta malipay ka sa imong adlawng natawhan
wala akong kasintahan,i don t have a boyfriend,wala ko y trato
natutuwa akong makilala ka,i m glad to meet you,nalipay ko nga nagka ila ta
paano ko sasabihin ang iyan sa inyong lengwahe,how do i say that in your language,unsaon nako na pag istorya pinaagi sa inyong sinultihan
higit ang pagmamahal ko sa iyo kaysa sa pagmamahal mo sa akin,i love you more than you love me,mas labaw pa ang akong paghigugma nako sa imo ikumpara sa imong paghigugma sa akoa
si ay walang trabaho ngayon,is unemployed now,wala y trabaho si karon
kumusta ka,how are you,kumusta ka
nagkaroon ka ba ng isang maligayang paglalakbay,did you have a pleasant trip,malipayon ba ang imong pagbiyahe
masama ang aking pakiramdam,i feel bad,lain ang akong paminaw
tumawag ka ng pulis,call the police,panawag og pulis
napakamahal naman nito,it is very expensive,kamahal ba ani
nagtutulug tulogan lamang siya kaya hindi siya humihilik,he just sleeps so he doesn t snore,nagpatulog tulog lang na siya bantog wala siya nihagok
masyadong maliit ang aking mga sapatos,my shoes are too small,gamay kaayo ang akong mga sapatos
kailangan ko ng bago,i need a new one,kinahanglan nako og bag o
parati siyang nakaasul na syert,he always wears a blue shirt,pirmi siya nagasuot og asul nga sanina
may tatlong aso si,has three dogs,adunay tulo ka iro si
oras nang pumunta,time to go,oras na para molakaw
sinuysoy ko si na samahan kami,i persuaded to join us,gihangya nako si nga ubanan mi
isip niyang bagay iyon sa buhay at kamatayan,he thought it was a matter of life and death,nahunahunaan niya nga angay to sa buhi ug kamatayon
hindi na ako makalakad tatay,i can t walk anymore dad,dili nako gusto molakaw papa
pabuhat po o,lift it up oh,kargaha ko palihog
oy magpahinga na tayo rito,oy let s rest here,uy magpahuway sa ta diri
pagod na ang mga binti ko at hindi na ako makalakad,my legs are tired and i can t walk anymore,gikapoy na ang akong tiil ug dili nako gusto molakaw
sino itong kinakausap ko,who am i talking to,kinsa man ni akong ka istorya
susustentuhan ako ng ama ko,my father will support me,suportahan ko sa akong amahan
marumi ang banyo,the bathroom is dirty,hugaw ang kasilyas
ikaw mismo ang gumawa noon,you did it yourself,ikaw gyud ang naghimo ana
ito bang bulaklak ay hindi maganda,is this flower not beautiful,dili ba ni didto nga bulak
walang sinabi si,said nothing,wala y gisulti si
kahit na mabilis ka hindi ka pa handa,even if you re fast you re not ready,bisag unsa pa ka kapaspas dili pa ka andam
puwede mo bang ilagay lahat iyon sa malaking supot,can you put it all in the big bag,mamahimo ba nimo ng ibutang sa dako nga plastik
pinagbilin ko siyang gawin iyon,i ordered him to do that,gisaligan nako siya nga buhaton to
ang nangyari y katulad ng kidlat sa langit na walang ulap,what happened was like lightning in a cloudless sky,sama sa usa ka kidlat nga gikan sa langit ang panghitabo
ibibigay mo ba sa akin ang iyong numero sa telepono,will you give me your phone number,hatagan ba ko nimo sa imong numero sa telepon
bumalik siya sa tahanan pagkatapos ng matagal na paglayas,he returned home after a long run away,nibalik siya sa tindahan pagkahuman niya og layas sa dugay nga panahon
binisita niya ang hawaii nang maraming beses na,he has visited hawaii many times,nibisa siya sa hawaii sa makadaghan nga panahon
iguhit ng linya sa a hanggang b,draw a line from a to b,magdibuho oh linya nga a hantod b
may nakitang usok galing sa bintana,smoke was seen coming from the window,adunay nakita nga aso gikan sa bintana
sa sulok ng kuwarto ay isang mesa,in the corner of the room is a table,sa kilid sa kwato adunay usa ka lamesa
walang makadesisyon kung anong dapat gawin,no one can decide what to do,wala y makanuot kung unsa ang dapat buhaton
uminit ang araw,the sun got hot,niinit ang adlaw
umani ako ng marami,i reaped a lot,daghan ko og nakuha
hindi alam ni sabihin kung ano ang gusto niyang sabihin sa ingles,doesn t know how to say what he wants to say in english,dili kabalo si kung unsaon niya pagstorya sa ingles ang iyang buot iingon
hindi ko sila natalo,i didn t beat them,wala nako sila napildi
nagtuturo ako ng ingles halos araw araw,i teach english almost every day,nagatudlo ko og ingles kada adlaw
masaya ka ba sa bahay mo,are you happy at home,malipayon ba ka sa imohang balay
hindi ko na ulit ito gagawin,i will never do it again,dili na nako ni buhaton og usab
nangyari ang aksidente sa kalsada,the accident happened on the road,nahitabo ang aksidente sa kalsada
maaari tayong magkita,we can meet,mamahimo kitang magkita
maaari ba ako lumakbay,can i travel,mamahimo ba akong molakaw
umupo ako sa kanyang tabi,i sat next to him,nilingkod ko sa iyahang tapad
nakakahiya,shame,kaulaw
isulat niyo ang anong ididikta ko,write down what i will dictate,isulat kung unsa ang akong iingon
walang salita ang makakapaglarawan sa pag ibig ko para sa iyo,no words can describe the love i have for you,wala y pulong ang makalaraw sa akong paghigugma para sa imoha
hindi iyan nakakatawa,that s not funny,dili na kataw anan
ang parke ay puno ng mga bata,the park is full of children,napuno og mga bata ang parke
at saan patutungo ang lahat ng mga bata sa bahay ampunan,and where do all the children in the orphanage go,ug asa padulong ang mga bata nga sa balay amponan
siya ay nakahiga sa sofa ang mga mata y nakapikit,he was lying on the sofa eyes closed,naghigda sita sa lingkuranan nga ang mga mata kay nakapiyong
magkasing edad tayo,we are the same age,pareho ta og edad
ang bait bait mo,you are so kind,kabuotan pud nimo
ang mga paniniwala ay resulta ng ating imahinasyon,beliefs are the result of our imagination,ang mga tinuohan kay resulta sa atong mga hunahuna
alam kong alam ko iyan pero hindi ko matandaan,i know i know that but i can t remember,kahinumdom ko nga kabalo ko ana pero nakalimtan lang nako
ayaw kong kumain ng isang buhay na ulang,i don t want to eat a live lobster,dili ko gusto mokaon og isa ka buhi nga ulang
akala ko ay hindi kita mahahanap,i thought i couldn t find you,abi nako dili na tika makita
hindi konti ang petrolyo sa aming bansa,petroleum is not small in our country,dili limitado ang gasolina sa among nasud
siya ay nasa isip niya palagi,he was always on her mind,siya kay naa sa iyang hunahuna pirmi
bigyan mo ako ng anumang panulat,give me any pen,taga i ko og bisag unsa nga gamit pangsulat
siya ay may dalawang pusa,she has two cats,adunay siya y duha ka iring
wala siyang kompyuter,he doesn t have a computer,wala siya y kompyuter
ipakita niyo ang daan,show me the way,pakitaa ko sa dalan
siya ay sumusulat pa rin ng mga nobela paminsan minsan ngunit hindi na palagi tulad noon,he still writes novels from time to time but not as often as before,nagasulat gihapon siya og sugilanon usahay pero dili na pareho sauna
kapwa estudyante ang nakapasa sa lahat ng kanilang mga pagsusulit,both students passed all their exams,pareho nga mga magtutungha ang nipasar sa ilang gibuhat nga pagsukod
sobrang sama ng pakiramdam ko ngayon,i feel so bad right now,lain kaayo ang akong paminaw karon
sa tingin ko ako ay may napakataas na lagnat,i think i have a very high fever,sa akong paminaw aduna ko y taas kaayo nga hilanat
bakit mo iniligtas ang maitim na asong iyon,why did you save that dark dog,ngano ng gi salba nimo tong itom nga iro
matagal na akong hindi bumahin,i haven t sneezed in a long time,dugay nako wala naka hatsing
sa iyo ba ang aklat na ito,is this book yours,imoha ba ni nga libro
ang kabayo ay isang animal,a horse is an animal,ang kabayo kay usa ka hayop
magpakatino ka hindi ka makakamaneho kung wala ang manibela,be smart you can t drive without a steering wheel,pagtarong dira dili ka maka drayb kung wala y manibela
lahat ng mga aklat sa estante ay nabasa na,all the books on the shelf have been read,tanan nga libro sa sulod sa aparador kay nabasahan na
handa akong sumunod sa iyo,i am ready to follow you,andam ko nga mosunod sa imo
iwan mo ang aking kotse,leave my car,ibilin ang akong sakyanan
naghanap nang naghanap ang pulisya ng isang nawawalang bagay sa loob ng isang buwan,the police searched for a missing object for a month,sa sulod sa usa ka bulan wala niundang sa pagpangita ang kapulisan sa usa ka nawala nga butang
ang ibig sabihin ng amnesya ay pagkawala ng memorya,amnesia means loss of memory,ang buot pasabot sa amnesia kay ang pagkalimot nimo sa imong memorya
siya ang gumagawa ng pinakamasarap na mga sandwich sa buong mundo,he makes the best sandwiches in the world,siya ang nagahimo sa pinakalami nga sandwich sa tibuok kalibutan
iyan ay trabaho ko,that s my job,mao kana ang akong trabaho
kailangan niyo na bumuo ng apat na grupong may anim na miyembro bawat isa,you need to form four groups of six members each,kinahanglan ninyo makaugna og upat ka grupo nga adunay unom ka miyemboro kada tapok
pakiusap huwag mong gawin iyan,please don t do that,palihog ayaw kana buhata
gusto kong manirahan sa isang kastilyo,i want to live in a castle,gusto ko nga mopuyo sa usa ka palasyo
wala akong pakialam sa bagay na iyan,i don t care about that stuff,wala ko y labot mahitungod ana nga butang
ang nanalo ay ang mga babae,the winner is the women,ang mga mandadaog kay ang mga babae
iniiwan ko ang mga aklat dito,i leave the books here,akong ginabilin ang akong mga libro diri
kinuha ko ang larawang iyan noong nakaraang linggo,i took that picture last week,gikuha nako na nga hulagway atong nilabay nga dominggo
bigyan mo ako ng isang basong tubig pakiusap,give me a glass of water please,mamalihpg ko taga i ko og isa ka baso nga tubig
may aso ka diba,you have a dog right,naa ka y iro di ba
maraming tao ang dumalo sa libing,many people attended the funeral,daghan nga tao ang nitambong sa lubong
bibisitahin ko ang nanay sa ospital bukas,i will visit mom in the hospital tomorrow,akong duawon ang akong inahan sa balay tambalanan
ano ang natuklasan ni cristobal colombo,what did christopher columbus discover,unsa ang nahibaloan ni cristobal colombo
huwag mo iyang sagutin,don t answer him,ayaw kana tubaga
ito ay kailangang magbago,this has to change,kinahanglan kini magbag o
si ay bata,is young,si kay usa ka bata
wala akong oras para bumili ni para magpaalam sa aking ina,i didn t have time to buy or to say goodbye to my mother,wala nako y oras aron mananghid sa akong inahan
nagkasakit ako ako ay nanatili sa bahay buong araw,i got sick i stayed at home all day,nasakit ko nagpundo ko sa balay tibuok adlaw
may mga mansanas na dilaw kami,we have yellow apples,aduna kami y mga dalag nga mansanas
minsan may sakit ako sa tiyan,sometimes i have a stomach ache,usahay aduna ko y ginabati nga sakit sa akong tiyan
siya ay nagluluto para sa kanyang asawa araw araw,she cooks for her husband every day,nagaluto siya kada adlaw para sa iyang asawa
saan mo naman nakuha ang ideyang iyan na may alam ako sa mga robot,where did you get that idea that i know something about robots,asa man ka gikan ang imong nahunahunaan nga ako aduna y nahibal an mahitungod anang mga robot
pwede ba kitang makita ngayong gabi,can i see you tonight,mamahimo ba ta ng magkita karong gabii
sila ay umakyat sa tren,they boarded the train,nisaka siya sa tren
tinulungan ni si sa kanyang takdang aralin,helped with her homework,gitabangan ni si sa iyang buluhaton sa balay
si dimitri mendeleev ay ipinanganak noong ika ng pebrero taong,dimitri mendeleev was born on february,si dimitri mendeleeb kay gipanganak atong ika sa bulan sa pebrero tuig
masaya sila sa resulta,they are happy with the result,malipayon siya sa resulta
ang mga taong naninirahan sa kanya sa londres ay bibisita sa akin,the people who live with him in london will visit me,ang mga tao nga nagpuyo sa iyada sa nasud londres kay mobisita sa akoa
gusto ko na ang lahat ay perpekto,i want everything to be perfect,gusto nako nga ang tanan wala y mali
iwan mo ang mga aklat nang ganyan,leave the books like that,biya i na ang mga libro nga ingon ana
sa huli nakuha namin ang impormasyon,finally we got the information,sa ulahi nakuha na namo ang impormasyon
huwag manigarilyo dito,do not smoke here,ayaw panigarilyo diri
huwag hayaang makatakas ang sinuman,don t let anyone escape,ayaw pasagdi nga naa y makatakas bisan og si kinsa
natatandaan ko,i remember,nahinumdoman nako
si felipe ay gustong magpalaki ng kanyang katawan,felipe wants to increase his body,si felipe kay gusto nga padakuon ang iyang lawas
ako ay tumatawa,i am laughing,nagakatawa ako
walang ibang inisip ang aking nanay kundi ang aking pag uwi sa bahay,my mother thought of nothing but my coming home,wala y laing gihunahuna ang akong inahan pero ang akong pag uli sa among balay
ako ay may isang libo t limang daang mga baka,i have one thousand five hundred cows,aduna ko y usa ka limo ug lima ka sintos nga mga baka
si yumi ay pumunta roon nang mag isa,yumi went there alone,miadto si yumi didto nga nag inusara
ilang susi tanong ni pepperberg,how many keys asked pepperberg,pila ka susi pangutana ni pepperberg
sinira ng baha ang mga tanim,the flood destroyed the crops,giguba sa tubig baha ang mga tanom
nakatayo ka na ba ng isang bahay,have you built a house,nakapatindog na ba ka og usa ka balay
binisita ko si nara,i visited nara,gibisita nako si nara
para ba akong isang loko kung nagsasalita ako nang ganito,do i sound like a fool if i talk like this,mura ba ko g wala sa akong panghunahuna kung ingon ani akong pag istorya
tapos ka na,are you done,humana ka
sa kanya iyan,that s his,iyaha kana
dito ako nagtatrabaho,i work here,diri ko nagatrabaho
matutulungan mo ba ako sa paghugas ng mga pinggan na ito,can you help me wash these dishes,matabangan ba ko nimo sa paghugas aning mga hugason
nakakaintindi ba silang dalawa ng pranses,do they both understand french,nagkasinabtanay ba silang duha sa pranses
gusto ko ng isang keyk na bughaw,i want a blue cake,gusto ko og keyk nga asul
ang balita ngayon sa dyaryo ay may paparating na isang malakas na bagyo,today s news in the newspaper is that a big storm is coming,ang balita nga anaa sa dyaryo kay mahitungod sa paabota y nga kusog nga bagyo
gusto kong dalhin mo ako ng isang kutsilyo,i want you to bring me a knife,gusto nako magdala ka og usa ka kutsilyo
hindi ako makakapunta rito bukas,i can t come here tomorrow,dili ko magka adto diri ugma
ang gatas na ito ay nagkakahalaga ng dolyares,this milk costs dollars,kini nga gatas kay mapalit sa presyo nga tresmil ka dolyares
hanapin mo ang salita sa diksyunaryo,look up the word in the dictionary,pangitaa ang pulong sa diksyonari
anong ingay iyon,what is that noise,unsa to nga saba
si ay pumupunta rito halos araw araw,comes here almost every day,naga adto diri si halos kada adlaw
salamat,thank you,salamat
sobra kitang mahal di mo lang pinahalagahan,i love you so much you just don t appreciate me,gihigugma tika og maayo wala lang nimo gihatagan og importansya
ako ay mamamahayag,i am a journalist,usa ko ka reporter
si ay nagriribyu para sa kanyang eksamen bukas,is revising for his exam tomorrow,si kay nagatuon para sa iyang eksam ugma
ako y labinlimang taong gulang bakit mo naitanong,i am fifteen years old why do you ask,akong edad kay kinse anyos ngano ng napangutana nimo kana
si ang kauna unahang batang humalik kay,was the first boy to kiss,si ang pinaka una nga nihalok kay
isang bagyo sa isang baso ng tubig,a storm in a glass of water,usa ka bagyo sa usa ka baso nga tubig
ang websayt na ito ay umiimbag ng mga lihim na dokumentos ng ilang mga gobyerno,this website stores secret documents of several governments,kini nga websayt ginatagoan ang mga importanteng dokumento sa ubang mga taga gobyerno
kailangan ko ng konting panahon para umisip,i need some time to think,kinahanglan nako og gamay nga panahon para makahunahuna
ako y kinakabahan at di makapaghintay,i m nervous and can t wait,nakulbaan ko ug dili nako makahulat
umuulan noon kaya ako ay nanatili sa bahay,it was raining so i stayed at home,niulan ato na panahon bantog nagpundo lamang ako sa balay
walang bahing kung walang ilong walang katotohanan kung walang basehan,there is no sneeze without a nose no truth without a basis,walay hatsing kung walay ilong ug walay kamatuoran kung walay basehan
ang aking mga magulang ay diborsyado,my parents are divorced,ang akong mga ginikanan kay bulag na
may mga taong gusto ng beysbol ang iba ng saker,some people like baseball others of saker,adunay mga tao nga ang gusto kay beysbol ang uban sab kay saker
may na mga estudyante sa klaseng ito,there are students in this class,adunay kwarenta ka mga magtutungha ani nga klase
pinahintay nila ako ng kaunting sandali,they made me wait a little while,gipahulat ko nila og gamay ng panahon
ang kalusugan ay ang pinakamahalagang bagay,health is the most important thing,ang atong panlawas ang pinakaimportante sa tanang butang
basahin mo ang teksto,read the text,basaha ang pahayag
hindi ko ginustong lokohin ka,i didn t want to fool you,wala nako gigusto nga ilaron ka
ang aking nobyo ay istupido,my boyfriend is stupid,ang akong trato kay hungog
hindi ko masyadong kilala ang lungsod,i don t know the city very well,dili kaayo nako kabisado ang siyudad
nasa hokkaido ka ba isang taong nakalipas,were you in hokkaido a year ago,naa ba ka sa hokkaido atong niagi nga tuig
siya ay nagsasalita ng hapones nang mabuti,he speaks japanese very well,siya kay hawon mosulti og hapones
sa tingin mo ba y magugustuhan niya,do you think he will like it,sa imong panan aw magustohan ba ni niya
ang maliliit na hasyenda ng pamilya ay nawala,small family farms disappeared,nawala ang gagmay nga bukid sa ilang pamilya
hindi maaaring mangisda sa dikeng ito,can t fish on this dike,dili mamahimong mangisda ang diri nga kanal
sa totoo lang may gusto rin siya sa kanya,actually he likes her too,sa tinuod lang aduna sad siya y gusto sa iyaha
hindi nakikita ni ang mga nakasulat sa blakbord,cannot see what is written on the blackboard,dili makit an ni ang gisulat sa bord
para sa akin mas madaling magtrabaho sa labas kaysa gumawa sa bahay,for me it s easier to work outside than to work at home,para sa akoa mas sayon motrabaho sa gawas kung ikompara sa pagbuhat og balay
sigurado ka bang sinabi niya iyan,are you sure he said that,sigurado ba ka nga iyaha kanang gi ingon
hindi eksaktong ganyan pero sinabi niya,not exactly like that but he said it,dili gyud ingon ana pero nagsulti siya
kung luluwas ka ngayon din bukas nang gabi ay nasa boston ka na,if you leave now tomorrow night you will be in boston,kung molugsong na ka karon dayon ugma sa gabii naa na ka sa boston
ako ay bumabiyahe halos araw araw,i travel almost every day,nagabiyahe ko kada adlaw
hindi ako kasimbilis tulad niyo,i m not as fast as you,dili ko paspas sama ninyo
bukas ay isang bagong araw,tomorrow is a new day,ugma kay usa ka bag ong adlaw
maraming trabaho ang magagawa gamit ang mga kompyuter,many jobs can be done with computers,daghan nga trabaho ang mabuhat pinaagi sa usa ka kompyuter
wala akong ganang mag ehersisyo,i don t feel like exercising,wala ko giganahan mag eksersays
gusto kitang makita,i want to see you,gusto tika makit an
nang kami ay dumating doon biglang umulan,when we got there it suddenly rained,sa among pag abot didto nibundak ang ulan
tawagan mo ko bukas,call me tomorrow,tawagi ko ugma
hininto niya ang kotse,he stopped the car,gihunong niya ang sakyanan
kahit ang inay alam,even the mother knows,bisag ang mama nakabalo
pinabigay nila ito sa inyo,they gave it to you,gipahatag nila kini sa inyo
naiintindihan mo ba ang pagkakaiba,do you understand the difference,nakasabot ba ka sa kalahian
bakit ka gumising nang napakaaga,why do you wake up so early,ngano ng nimata ka og sayo
may eksamen kami sa ingles ngayon,we have an english exam today,aduna kami y eksam sa ingles karon
saglit lang talaga,just for a moment,kadiyot lang gyud
pinadalhan kita ng isang liham,i sent you a letter,gipadalhan tika og sulat
kumain ka at uminom,eat and drink,kaon na ug inom
kailangan mong panatilihing maayos ang iyong silid tulugan,you need to keep your bedroom tidy,kinahanglan nimo ipadayon ang kahapsay sa imong kwarto
tapos na siyang kumain ng agahan,he has finished eating breakfast,humana siya og kaon sa iyang pamahaw
magkakaiba ang kanilang mga opinyon,their opinions differ,managlahi ang ilang mga opinyon
eto ang aming kaibigang si,this is our friend,kini ang among higala nga si
hindi mo kailangang ako y tawagan,you don t have to call me,dili kinahanglan nga tawagan ko nimo
gusto mo ng ano,what do you want,unsa imong gusto
may galit siya sa akin,he has a grudge against me,naa siya y kasuko sa akoa
huwag kang magsalita ng hapon,don t speak japanese,ayaw pagistorya og hinapon
sa tingin ni ay alam niya kung sino ang paboritong musikero ni,thinks he knows who s favorite musician is,sa panan aw ni kabalo siya kung kinsa ang gusto nga musikero ni
gusto ko pa,i want more,ganahan pa ko
umalkila kami ng isang kabanya na malapit sa isang lawa,we rented a cabin near a lake,nag arkila kami og usa ka balay nga duol sa lawa
eto ang bahay kung saan nakatira ang punong ministro,this is the house where the prime minister lives,diri nga balay nagpuyo ang punong ministro
kung sakali hindi ako makakarating pumunta ka nang mag isa,in case i can t make it you go alone,kung dili ko mka abot adto nlng ng ikaw ra isa
walang silbi ang pagbigay ng insentibo siya ay hindi nagbabago,it s no use giving incentives he doesn t change,walay pulos ang gihatag nga kwarta waa siya nagbag o
alin ang pipiliin mo,which would you choose,unsa ang imong pilion
ako mismo ang mag aalaga sa kanya,i will take care of him myself,ako ang mag atiman sa iyaha
akin na ang armas,the weapon is mine,ihatag sa akoa ang pistula
tingnan mo kung anong dinala ng pusa dito,look what the cat brought here,tan awa kung unsa ang gibitbit sa iring diri
kaarawan ko bukas at magiging na ako,tomorrow is my birthday and i will be,ugma ang akong adlawng natawhan ug padulong nako mag desisiyete
wala akong tinatago mula sa iyo,i m not hiding anything from you,wala ko y ginatago sa imo
hindi na niya bibisitahin ang lungsod kahit kailan,he would never visit the city again,dili niya suroyon ang siyudad bisag kanus a pa man
huwag mo kaming mamaliitin,don t underestimate us,ayaw kami og insultoha
kailangan mong magpursige hanggang iyon ay makuha mo,you have to persevere until you get it,kinahanglan nimo maningkamot aron makuha nimo na
nakita ko sa discovery channel,i saw it on the discovery channel,nigawas ko sa discovery channel
ano ang talagang gusto ni ay isang bagong gitara,what really wants is a new guitar,ang pinakagusto ni kay isa ka bag o nga gitara
sa darating na taon ay eleksiyon,next year is an election,adlaw sa pinili ay karong umaabot nga tuig
mahigit sa na katao ang pumunta sa konsyerto,more than people went to the concert,labaw sa tres mil ka tawo ang nitambong sa konsert
ang aking kaibigan ay labimpitong taong gulang,my friend is seventeen years old,ang akong higala kay kinse ka anyos na
pinangako niyang pakasalan siya ngunit hindi sila ikinasal,he promised to marry her but they never got married,nisaad siya og kasal sa iya pero wala y nahitabo nga kasal
ang epekto ay madali,the effect is easy,paspas ang resulta
ang kailangan mo lamang gawin ay pindutin ang pulang boton na ito,all you have to do is press this red button,kinahanglan lamang nimo pinduton ang pula nga pislitanan
ang bansang hapon ay nasa asya,japan is in asia,naa sa asya ang nasud japan
gagawin ko ang trabaho bukas,i will do the work tomorrow,himuon nako ang trabaho ugma
ang katotohanan ay kahit kailan hindi siya pumunta sa amerika,the truth is that he never went to america,ang kamatuoran kay wala gyud na siya naka adto sa amerika
ang asawa ni ay mabilog,s husband is plump,lingin ang lawas sa bana ni
nais ko ang iyong pag ibig,i want your love,gusto nako ang imong paghigugma
kapag ika y kakain ng ganyang kadami ika y tataba,when you eat that much you will gain weight,kung mokaon ka og ingon ana kadaghan motaba ka gyud
hali kayo,come on,ali mo diri
sumama siya sa kanya papuntang sinehan,he went with her to the cinema,miuban siya sa iyaha padulong sa sinehan
sabihin mo,tell me,iingon na
sila ay nakatira malapit sa paliparan,they live near the airport,ang ilang balay kay duol sa airport
ang kwartong iyan ay hindi gaanong malaki,that room is not that big,dili kaayo dako ang kana nga kwarto
walang higit na importante kaysa ang panahon,nothing is more important than time,walay mas labaw nga importante kaysa sa oras
kasama niya ang mga magulang,his parents are with him,kauban niya ang mga ginikanan
iyan ay hindi kailangan,that is unnecessary,dili kana gikinahanglan
akin ang itim,black is mine,akoa kay itom
mabilis tumakbo ang mga bata,the children ran fast,paspas modagan ang mga bata
