tagalog,english,cebuano
masarap kumain pandesal kape,good eat pandesal coffee,lami kanon pandesal adunay kape
maraming pandesal maalat,many pandesals longer salty,daghang pandesal parat
umambag tatoeba,contribute tatoeba,amot tatoeba
sabihin katotohanan,tell truth,isulti tinuod
maaaring masaya,happy,mahimong malipayon
tumulo dugo mula sugat,blood dripped wound,sirit dugo samad
kalusugang mental magkasinhalaga kalusugang pisikal,mental health important physical health,kahimsog pangisip labi hinungdanon kahimsog lawas
mahilig magluto aking kapatid babae,sister doesnt like cook,ganahan magluto igsoon babae
hinalik,havent kissed yet,gihagkan
magagawa tumanggap,nothing accept,nahimo gawas pagdawat
bulag mata,blind one eye,nabuta mata
sinaklolohan bumbero,firefighters helped,bombero nagluwas kaniya
minantikilyahan ibabaw sunog tinapay,longer buttered surface burnt bread,mantikilyahan ibabaw nasunog pan
tulungan pakiusap,help please,tabangi palihog
karayom sinulid,needle thread,adunay dagum hilo
pangungusap tama,sentence correct,husto tudlingpulong
nakakapagtataka,wonder hes,nakurat
palagi dumarating ganitong oras,always comes time,kanunay moabut taknaa
humingi tawad,apologize,mangayo pasaylo kaniya
pinakain,feed,gina pakaon
lumabas manatili loob,id rather go stay,buot mogawas magpabilin sulod
kumain bahagi hamon pagkatapos itinago iba ref,ate ham hid rest refrigerator,gikaon pipila bahin hamon pagkahuman gitago uban ref
sabay sabay kaming tumayo,stood together,dungan tindog
kinailangan bigyan kaunting tulong,give little help,hatagan gamay hinabang
dahandahan marinig,take easy cant hear,hinay hinaya dungog
itim,isnt black,itom
buksan ilaw,turn light,mahimo ipasiga suga
hali lumangoy,come lets swim,dali langoy
pagod pagod mabuhay,tired living,gikapoy buhi
amin nakasagot,neither us answered,amo nakatubag
naiintindihan,dont understand,makasabut
naming matuto awit kastila,want learn spanish songs,buot hibalo pipila kanta espanya
anak,children,anak
huminga malalim,breathed deeply,ginhawa lalom
takot,afraid,hadlok
natatakot,afraid,nahadlok
takot,afraid,nahadlok
hari mahahabang braso,kings long arms,hari adunay taas bukton
tingin imposibleng matapos trabaho bago magalas singko,think impossible finish work five oclock,hunahuna imposible tapuson trabaho pay singko
ulitin salitang loob bahay diyos,repeat word inside house god,pagusab pulong sulod balay ginoo
kinailangang pintahin bakod,paint fence,pintalan koral
inalis linggo pagkatapos niyang pintahin,removed week painted,gikuha semana pagkahuman pagpamintal
ilan magaaral nandito,many students,estudyante ania
dalawang anak babae,two daughters,silay duha anak babaye
nating ipagtanggol bansa gugulin,defend country matter spend,panalipdan nasud buhaton
malaman aking magulang pumarito maaari gumawa bagay kanaisnais,parents find youre might something unpleasant,nahibalan ginikanan mianhi makahimo butang maayo
labinlimang taon,teacher fifteen years,magtutudlo kinse tuig
marco,marco,marco
kapatid,brother,igsuon
tingin okey trabaho,think work okay,hunahuna okay trabaho
palagi nakikinig balita radyo,always listens news radio,kanunay namati balita radyo
alam iniisip gawin,know youre thinking,kabalo nahunahunaan buhaton
kapilyang itinayo kastila siglo nakalipas,chapel built spaniards centuries ago,kapilya gitukod katsila gatusan tuig milabay
mali,wrong,nasayop
malamig pagkain,food cold,bugnaw pagkaon
pinakamataas tore bansang hapon,tallest tower japan,pinakalabing taas tore nasud japan
umikot narinig boses,spun around heard voice,lingi dihang nabati tingog
pahiramin steypler,lend stapler,mahimo pahulamon steypler
humintay mahabang oras ngunit sumipot,waited long time appear,naghulat dugay panahon apan mingtungha
edad maalam,age know better,edad labi maalamon
naglaro tenis buong araw,played tennis day,dula tenis tibuok adlaw
damit,want dress,sinina
tumingin salamin,looked mirror,gitanaw salamin
hinamon laro ahedres,challenges game chess,hagit dula chess
pagkakataong matatakasan parusa,time cannot escape punishment,ning orasa makalikay silot
estudyanteng napakasipag magaral,diligent student,kugihan tuon estudyante
gumigising maaga madaling yumaman,wakes early gets rich easily,sayo mata magpadato dayon
magtrabaho labis,dont work hard,sobra trabaho
pinapasaya marie bata,marie makes children happy,gipalipay marie bata
pinatugtog gitara,made play guitar,gipa duyog gitara
sinasabi inosente,everyone says innocent,giingon silay sala
natatakot lumangoy,afraid swim,nahadlok molangoy
hanapin direktori telepono,dont look phone directory,pangitaon direktoryo telepono
inakala barko lulubog,everyone ship thought would sink,tuo pasahero barko malunod
naglalaba kotse,washes car,nanghugas awto
kumain kaunting lugaw matanda,old ate porridge,kaon gamayng lugaw tigulang
diksyunaryo,dictionary,diksyoanryo
nakikita ilaw,see light,nakitan suga
maaari ilagay bagahe kotse,put luggage car,mahimo ibutang bagahe awto
nakilala kina,met,nahimamat mahitungod
nakilala bahay,met toms house,nahimamat balay
pumunta su,went su,su
bantayan bata saglit,watch boy,bantayi bata alang kadiyot
mismong minutong tumugtog selpon,minute cell phone rang,adtong taknaa mismo tingog selpon
naninigarilyo mula labingsiyam taong gulang,smoking since nineteen years old,nanigarilyo nagedad napulog siyam tuig
matandang magasawa umupo magkatabi,old couple sat side side,nagtupad paglingkod tigulang magtiayon
ibinebenta,dont sell,gibaligya
sayasaya,happy,nalingaw
hulaan nakita araw,guess saw today,tagnaa nakita
unang tumulong,first help,una mitabang kaniya
bumago isip,changed mind,nakapausab hunahuna
magawa,cant want,buhaton gibuhat kutob mahimo
maging maingat,careful,magamping
dilaw,yellow,dalag
patayin telebisyon,lets turn television,patayon telebisyon
malapit pamilya,close family,suod pamilya
naming bilhin buhat ibang bansa,buy countries,paliton gawas nasud
itutulog,ill put sleep,ikatulog
asukal,sugar free,miy asukar
ibang ambulansya,another ambulance,laing ambulansya
gumamit katas bulaklak paggawa sorbetes,used flower juice make ice cream,gigamit duga bulag paghimo ice cream
ginto ngipin taong,one persons teeth gold,bulawan ngipon kanang tawhana
sopas napakaalat masama,soup salty bad,sabaw sobra parat makadaot
labhan damit tubig sabon matatanggal mantsa,wash garment soapy water stains removed,hugasi sinina tubig adunay sabon kuha lama
daling mantsahin telang,fabric stains easily,dalia sad mahugawan ning panaptona
,,dilidili
pumili pagitan dalawang,must choose two,mopili taliwala niining duha
binigay sundalo pangalan,soldier gave,gihatag sundalo ngalan
nahulog mansanas,apple fell,natagak mansanas
bago natanggap mensahe,received message,bag nadawat mensahe
matalik magkakaibigan,best friends,labing suod managhigala
laro nilalaro palagi nananalo,matter game plays always wins,igsapayan unsang dula dulaon kanunay nagadaog
marunong magmaneho kotse,doesnt know drive car,kahibalo unsaon pagdrayb awto
narito narito,doesnt want,ania
pangako sasabihin kanino,promise wont tell,misaad isulti
kalaro,wants friend,kadula
posible pupunta bukas,possible come tomorrow,posible ugma moanhi
magaling matematika,better math,maayo matematika
maligayang pagdating aking bahay,welcome house,maayong abot balay
pinahiram aking amerikana kaibigan kapatid,lent coat friend brothers,gipahulam coat higala igsoon
nagiingay bata,children making noise,nagsinggit bata
bababa mula tren itoy hihinto,get train stops,paggawas tren mohunong
umabsent paaralan pagkakasakit,absent school due illness,absent tulunghaan tungod sakit
matunaw yelo itoy magiging tubig,ice melts turns water,mutunaw ays mahimo tubig
kabuluhan sinasabi,say meaningless,pulos gisulti
sumasakit aking lalamunan labis paninigarilyo,throat hurts smoking much,sakit tutunlan tungod sobrang panigarilyo
malapit hotel paliparan,hotel close airport,duol hotel paluparan
bintana tinakpan bahay gagamba,windows covered spider webs,bintana silingan natabunan damang
alam naririnig,knew hearing something,kahibalo sii adunay nadunggan
,cant,mahimo
pumasok kwarto patakbo,entered room run,misulod kuwarto nagdagan
sumagot ingles,answer english,tubag iningles
kanilang ugali nakakatawa,habits funny,katawanan batasan
humahanga henry,everyone admires henry,gidayeg henry
huli niyang sulat taglagas,last letter fall,katapusang sulat kaniadtong tingdagdag
kaalaman nangyari,know happened,alamag nahitabo
naririto,,ania
palabas,show,salida
bagay ibinebenta,item sale,gibaligya butang
naglalagay asukal kape,doesnt put sugar coffee,gibutngan asukar kape
lumabas bata maglaro,children must go play,bata mogawas magdula
nais malaman detalye,want know details,buot mahibalan detalye
palagi nagkakamali,always make mistakes,kanunay masayop
nais iwan mahirap trabahong,want leave difficult job,nakong biyaan saiya kining hago trabaho
nakatira hyogo,live hyogo,nagpuyo hyogo
,,tinood
paborito manunulat binabasa,favorite author read,bay pinalabi manunulat gibasa
binuksan kahon tumingin loob,opened box looked inside,giablihan karton lili sulod
pumasyal ibang bansa unang pagkakataon,went trip abroad first time,una higayon nagbiyahe gawas nasud
mabuhay mamamatay,live die,mabuhi hanaw gihapon
magingat pagtawid daan,careful crossing road,pagamping pagtabok dalan
tumingin sarili salamin,looked mirror,gitanaw kaugalingon samin
binili aklat araw,bought book day,gipalit libro miaging adlaw
seryoso,serious,seryuso
kayang magputol kuko magplantsa sabay,cant cut nails iron time,makahingoko samtang namalansa dungan
matanggal taghiyawat,cant get rid pimples,mawala bugas
magsaing,sing,lungag
naniniwala kwentong,still believe stories like,mutoo istorya ingon
tumayo harapan salamin,stood front mirror,tindog atubangan samin
napakabango trapong hawak,youre holding smell bad,mahumot trapo gikuptan
maraming dayuhan pumupunta bansang hapon matuto hapones,many foreigners come japan learn japanese,daghan dayu naga lungsod hapon magtuon hapones
inihaw isda hilaw isda,dont like grilled fish fish,ganahan inihaw isda hilaw isda
murielle tagaindya,murielle india,murielle lumulupyo indya
pumunta likuran kotse saka tumulak,went back car drove,nangadto likud bahin awto dayon naglawig
manigarilyo loob kwartong,smoke inside room,pagpanigarilyo sulud kwarto
nagmadali ann kaninang umaga,ann hurry morning,nagdali ann kaganinang buntag
sobrang init,hot,igang
makati ilong,nose itches,katol ilong
kumakati mata,eyes itch,nangatol mata
dinidiligan bakuran,water yard,gina bubuan tugkaran
naubos pagkain,ran food,nahurot among pagkaon
magbasa oras pagkain,read eating,pagbasa takna pagkaon
nagrereklamo palagi,complains time,kanunay nagareklamo
katatanggap balita,received news,bag nadawat balita
kumuha aklat mula istante,took book shelf,gikuha libro estante
nakalimutan niyang magdala damit,forgot bring clothes,nakalimot magdala sinena
pasahero namatay aksidente,passengers died accident,pasahero panaw aksidente
sigurado tutulungan,sure help us,sigurado tabangan
huling tren,last train,katapusan tren
ipahid ketsap pakpak manok platong,spread ketchup chicken wings plate,ibutang ketchup pako manok kanang plato
magaspang kamay,hands rough,gaspang kamot
mahalimuyak bulaklak ngunit pinitas,flower fragrant pick,humot bulak apan gipunit
napakapangit bulaklak pinitas mula hardin,flower picked garden ugly,labihan ngilad bulak gikuha tanaman
patutungo butiking limang binti,lizard five legs go,padulong ning tuko lima tiil
limang binti butiking,lizard five legs,tuko adunay lima bitiis
naputol buntot butiking limang binti,tail fivelegged lizard cut,putol ikog lima tiil tuko
gutom,still hungry,gigutom
marunong magingles magpranses,knows speak english also french,kamao storya ingles apan kahibaw sad pranses
sigurado,wasnt sure,sayod buhaton
makakagawa gamot mula laboratoryo,make drugs laboratory,mugna tambal laboratoryo
patay,dead yet,mingpanaw
anino patpat lantad,shadow stick obvious,klaro anino tukog
pumasyal,went walk,suroy
niyo basahin sulat iba pahintulot,read peoples letters without permission,basahon sulat uban pagtugot
ilayo bata mula apoy,keep child away fire,ipahilayo bata kalayo
sinabi bata tumahimik ngunit nagpatuloy kanilang pagiingay,told kids shut kept making noise,giingnan bata hilum apan nagpadayon kasaba
matulog,sleep,matog
nanggaling,,
saging kulay berde hinog husto kainin,bananas green ripe enough eat,berdeng saging nahinog kaonon
nasawi magulang,parents died,namatay ginikanan
kalilipat araw,moved day,nibalhin miaging adlaw
bumiyahe mula boston papuntang san francisco pamamagitan chicago,traveled boston san francisco via chicago,nagbiyahe bostonpadulong san francisco agi chicago
gawin sinasabi niyang magagawa maayos,whatever says better,buhaton giingon maayo mahimo
dumating mamang kartero,postman come yet,dumating mamang kartero
sapat pera binilhin bag,enough money would bought bag,adunay salapi mapalit bag
lumakad papunta,walked towards,naglakaw
basahin anumang aklat interesante,read book interests,mahimo mabasa unsang libro buot lantawon
totoo pasalamatan dito,actually thank,tinuud magpasalamat kanimo alang
mapaayos,fix,mahimo ayohon
inalis pinggan mesa pagkatapos hapunan,cleared dishes table dinner,gikuha platso lamesa pagkahuman panihapon
pumunta pulong bukas,come meeting tomorrow,mahimo duaw miting ugma
nagdala dosenang kutsara doble tinidor,brought dozen spoons twice many forks,nagdala dosena kutsara duha tinidor
tsaa kape,would like tea coffee,tsa kape
gawin,please,mahimo buhaton
naiintindihan salitang sinasabi,couldnt understand word saying,makasabut unsang pulong gisulti
mismo pumunta roon,went,mismo duaw
sakali mang mahuli kailangang maghintay,ever get caught dont wait,masakpan paabuton
mamamayan nagmula bansang hapon,citizens come japan,populasyon nasod japan
batang lalaki babae,children boys girls,bata lalaki babaye
nagnakaw pera,someone stole money,adunay nangawat nakong kwarta
masaya umalis,happier left,malipayon biya
dami bulaklak pula dilaw,many flowers red yellow,pagka daghan bulak adunay pula adunay dalag
tatanggap pabuya tumulong,receive reward helping,makadawat ganti alang tabang
tigre,likes tigers,tigre
tiyakin sinasabi,want make sure say,masiguro giingon
itoy bagay nakikita nililinis arawaraw,something see dont clean every day,butang nakita apan malimpyo matag adlaw
arawaraw linisin silid,clean room every day,limpyohan sulud matag adlaw
ihele anak,ihele child,atimana anak
nakatatandang kapatid nagnanais magaral ibang bansa,elder brother wants study abroad,among kamagulangan magtuon gawas nasud
nais matuto tsino susunod taon,want learn chinese next year,makakaton inintsik sunod tuig
mahalaga pasaporte pagbibiyahe,passport essential travel,mahinungdanon pasaporte pagbiyahe
duda babalik,doubt back,duda mubalik
kamalasan nangyari,misfortune happened,maayo butang nahitabo kaniya
nakalimutan,forgotten,nakalimtan
masyadong masayang makita,dont seem happy see,morag malipayon makita
syempre gawin anumang nais,course whatever want,mahimo
gawin ganyang bagay,would want things,buhaton ingon butang
nakikipagusap,one talks,tawo nakighinabi kanako
sinasabing magisa magpunta,saying go alone,giingon moadto maginusara
sigurado gawin,sure dont want,sigurado buhaton
sabihin magbabago isip,matter say wont change mind,isulti mausab hunahuna
sapatos angkop gamitin pagtatakbo,shoes suitable running,sapatos alang pagdagan
napakaraming nanganghalian,busy doesnt eat lunch,daghan gibuhat naniudto
binigyan maiinom,gave something drink,gihatagan ilimnon
mabuti ipagawa,better yet let,maayongpang ipa buhat kanako alang kanimo
tinatangkilik tinedyer aklat,teenagers enjoy books,nalipay tinedyer libro
swerte nabasag,luck nothing broke,biwenas nabuak
umiinom servesa,drinking cervesa,naginom ilimnon
mananatili araw inyo,stay days,magpabilin kaninyo adlaw
labinlimang taong gulang retratong,fifteen years old picture,kinse anyos litrato
arawaraw kaming nagtatrabaho maliban linggo,work every day except sunday,manarbaho adlawadlaw gawas domingo
nais magbasa,want read,magbasa
gawin ganitong klaseng trabaho,cant kind work even,mahimo klase trabaho magdumili
tiningnan mula kalawakan ilog mukhang malaking ahas,viewed space river looks like huge snake,tanawon kawanangan suba maorag dako bitin
humawak likod,someone grabbed behind,adunay naghawid likud
kondisyon tutulungan,condition help,buhaton tabangan sad
nagsusuot salamin,wears glasses,nagasuot antipara
masyadong maganda aking pakiramdam,feeling well,maayo pamati
pinakamatangkad,tallest,pinakalabing taas
pinakamatangkad,tallest us,labing kataas among
masahista,masseuse,manghihilot
tinalo larong chess,beat game chess,gilupig dula chess
umupo gitna silid,sat middle room,nanglingkod tunga kwarto
makinig,listen,paminaw
napakalutong maning,peanut crunchy,lutong ning mania
maraming desenteng hanapbuhay titingnan oras silay nagtatrabaho,many teachers decent job considering hours work,daghang magtutudlo tarong panarbaho buot susion oras pagtrabaho
ring magpunta roon,go,magadto
aklat silidaklatan paaralan,book school library,libro librarya tulunghaan
paa bisibleng nakabakas niyebe,feet visible snow,tiil mahimog masubay niyebe
nakadipende ikay papasa eksamen,depends whether pass exam,nakasalig makapasar pasulit
sinubukan niyang tahanin nagpatuloy pagiyak,tried hold continued cry,gisulayan kuptan apan padayon naghilak
kumakanta tandang tuwing pagsikat araw,rooster sings every sunrise,manok nagawit pagsubang adlaw
ooperahan aking tatay,father operated,adunay operasyon amahan
nanood tv dalawang oras kahapon,watched tv two hours yesterday,nagtanaw tv sulod duha oras kagahapon
nawala lalaki kagubatan,disappeared forest,nawala tawo kalasangan
pakasalan,marry,pakasli
maaasahan,count,makasalig
pagkaing maaanghang,dont like spicy foods,ganahan pagkaon halang
makita ibang tsanel,see whats channels,mahimo makita ubang tsanel
nakinig ngunit naintindihan,listened understand,naminaw apan nasabtan
ideya,idea,kabalo
nakakuha eksamen,get exam,makakuha eksamen
magpunta mamayang gabi,cant go tonight,makaadto karong gabii
naririnig awit naaalala araw aking kabataan,hear song remember days youth,madungog sonata nahinumduman adlaw pagkabatanon
narinig sinabi,heard said,nadungog gisulti
pinatulog ina anak,mother put son sleep,gipakatulog inahan anak
mesa puno alikabok,table full dust,lamesa puno abog
maikling buhok,short hair,adunay mubu buhok
paparating kotse,car coming,adunay umaabot awto
magalala aso aalagaan,dont worry dog take care,kabalaka bahin iro atiman iya
matutong magbisikleta,learn ride bike,mahibalan gamit bayk
malayo aking bansa bansang hapon,country far japan,nasud layo japan
nagaral kahapon,study yesterday,nagtuon gahapon
mahaba maikli daan,road long short,taas mubu dalan
dumating nalaman,came find,nakaabot kamatikod
maaari kausapin mike,talk mike,mahimo makigstorya mike
posporo,match,adunay posporo
paumanhin naninigarilyo,sorry dont smoke,pasensya apan naga panigarilyo
ngumingiti,dont smile,nagapahiyom
hilaw kumakain isda,eat fish,hilaw mokaon isda
nararapat,thats deserve,kanako
ikakasal,getting married,kanusa ikasal
pahiramin bolpen,lend pen,ipahulam kanako bolpen
tinawagan,,gitawag
pumunta trabaho linggo,go work sunday,nakasulod trabaho niadtong domingo
nawala daan masama pay inabutan ulan,lost way make matters worse rain overtook us,nawala among dalan labi daotan naabtan ulan
ilan bagay bago makakaalis,things leave,adunay pipila butang buhaton lakaw
interesado,seem interested,morag interesado
gaano kadalas naliligo linggo,often shower week,kanusa kanunay maligo semana
kahapon,yesterday nothing,gahapon pako buhat
binisitahan puntod,visits grave,gibisita lubnganan
umalis,leave,mobiya
makilala sikat,everyone wants know famous,mahibalan bantogan
tatay limang kapatid,father five brothers,amahan adunay lima igsoon
bibliya beysbol,baseball bible,bibliya baseball
maraming karunungan matatagpuan bibliya,much wisdom found bible,adunay daghang kaalam bibliya
isaisang bumagsak plano,plans fell apart one one,tagsatagsa nahugno plano
dalhin bagahe itaas,take luggage upstairs,kuhaa bagahe taas
napanood pelikulang matagal panahon nakaraan,watched movie long time ago,nalantawan nana salida kaniadtong dugay
mangaawit sikat bansang hapon pati europa,singer famous japan also europe,magaawit bantugan japan apan lakip europa
dami trabahong gawin,lot work,daghan trabaho buluhaton
mayo ipinanganak,born,natawo mayo
niligtas tayong,saved us,giluwas
ikinasal anak babae mayamang lalaki,married daughter rich,gipangasawa anak babaye dato
alam kabisera belgium,know capital belgium,nahibalan kapital belgium
nagdesisyon kanselahin reserbasyon,decides cancel reservations,nakahukom kanselahon reserbasyon
sinabi nagpaalala kakaibang karanasan maraming taon nakalipas,said reminded strange experience many years ago,giingon nagpahinumdom kanako katingadan kasinatian daghang tuig milabay
patawad ngunit sangayon,sorry disagree,pasensya mosugot
dadalhin kate,ill take kate,ihatod ila kate
magluluto tatay masarap pagkain bukas umaga,father cook delicious meal tomorrow morning,magluto amahan lamian pagkaon ugma buntag
matanda dalawang taon,two years older,magulang duha tuig
problema,problem,problema
daming linta aking bukid,many leeches farm,daghang linta among bungtod
sisikat muli araw madaling panahon,sun rise soon,adlaw mosubang madugay
lola nakakapagmaneho motorsiklo,grandmother drive motorcycle,lola makadrayb motorsiklo
sasakay eroplano papuntang hanoi bukas,take plane hanoi tomorrow,mosakay ayroplano padulong hanoi ugma
kinain kendi,ate candy,gikaon kendi
susi,keys,yabi
bahay kahapon,home yesterday,balay gahapon
dalawang kotse,two cars,duha awto
nakita babaeng,see girls,nakita bayhana
kutsilyo,knife,kutsilyo
kasal dalawang anak,married two children,minyo adunay duha anak
nangibang bansa,ever moved abroad,nakaadto laing nasud
ibibigay,give,ihatag iya
matandangmatanda magpunta alemanya,old go germany,tigulang makaadto alemanya
kakailanganin kanselahin aking tagpuan,cancel meeting,kanselahon tigum
umalis agad,dont want leave right away,mobiya dayon
kaunting panahon makausap tungkol problema,little time would like talk problems,adunay gamay oras makigsulti kanimo bahin pipila problema
mabuhay reyna,long live queen,daygon rayna
sumama kanilang bahay malaman nakatira,went house find lived,miadto balay mahibalan nagpuyo
mahabang buntot,cow long tail,adunay taas ikog
natututo tao nagtuturo,learns teaches,makasabot tawo tudlo
iniisip tumira bahay mahabang taon,dont think lived house many years,hunahuna nagpuyo balay daghang tuig
sagot,answer,tubag
lunas sakit siko,cure elbow pain,tambal kasakit siko
sikuin,elbow,sikoha
siguro mali daang tinahak,maybe took wrong road,tingali sayup dalan giagian
kailangang itago nararamdaman,dont hide feelings,itago gibati
panganib,danger,nameligro
barya pitaka,coins wallet,bay sinsilyo pitaka
mukhang matanda,doesnt look old,ingon tigulang hulagway
sabihin pupunta inay istasyon tren maghintay itay,tell mother go train station wait father,ingna moadto mama estasyon tren hulaton papa
mukhang turista,look like tourist,mura turista
hinihintay sulat mula,waiting letter,naghulat sulat kaniya
makikita batang nagtitinda sampaguita kalye,see children selling tulips street,makita bata namaligya sampaguita dalan
kamayan,want hold hand,duolon kamayon
sobrang nangangati kuto siguro,itchy lice,nangatol daghang kuto
,,nabuhat
buksan pinto,open door,ablihi pultahan
gawin,want,buhaton
nadapa sahig,fell floor,naumod salog
una palakaibigan,first seemed unfriendly,una ingon mahigalaon
hinele,dont recognize,alamalam
kamutin kagat lamok magiging pula,scratch mosquito bite red,paggisi pinaakan lamok mamula
maging maingat paggamit posporo,careful using matches,pagamping paggamit posporo
bruha,witch,barangan
iwanan tv nakabukas,dont leave tv,pasagdi nakapasalida tv
pangit ngipin batang lalaki sinisipilyuhan,boys teeth ugly doesnt brush,bata lalaki daot ngipon tungod ginasipilyo
luto kanin,rice cooked yet,luto kan
minuto ha,minute huh,minuto ha
takbo takbo,dont run fast,dagan
mabangga mamahaling estatwang,maybe bump expensive statue,basi makabangga mamahalon estatwa
lalaki,men,dagko
humawak,hold,gunit
uminom anuman aking sipon,drink something cold,moinom butang alang subaw
tumutugtog piyano,plays piano,duyog piyano
ibibigay pera bukas,give money tomorrow,ihatag kanimo kwarta ugma
tingin bughaw pinakamagandang kulay,thinks blue best color,nagtuo asul labing kolor
maingat maingat madalas nagkakamali,careful doesnt make mistakes often,nagamping busa kanunay masayup
nakuha bisikleta libre,got bike free,nakuha bayk libre
nakakita bangkay,one found body,nakakita patayng lawas
maiinom kahapon,nothing drink yesterday,mainom kagahapon
sumama,come,mahimo mouban
bisingbisi melanie,melanie busy,bisi melanie
umiinom melanie gatas,melanie still drinking milk,nagainom gatas melanie
nakaupo pusa ibabaw mesa,cat sitting table,iring lingkod ibabaw lamisa
sinasabihan pumunta magisa,telling go alone,sultihan mulakaw maginusara
sinungaling,liar,bakakon
ingay nagpanatili gising buong gabi,noise kept night,kasaba nagpabilin kanako bugos gabii
kaibigan tumawag kagabi,friend mine last night,gitawag higala kagabii
gandang rosas,beautiful rose,pagkanindot rosas
kapanipaniwala sinuman natabunan gumuhong gusali lindol kaninang umaga,unbelievable one trapped collapsed building mornings earthquake,katuohan natabunan nahugno bilding linog kaganinang buntag
binati ginang,greeted lady,nitahud babaye
mabahong hininga,bad breath,maayo baho ginhawaan
tao mortal,mortal,mamatay tawo
nangyayaring sobrang kakaiba parke,something strange seems happening park,adunay katingadhang panghitabo nahitabo parke
niyang magtanong itinaas kamay,wanting ask question raised hand,tungod mangutana giisa kamot
alam alam ospital,knew well hospital,nahibalan hingpit ospital
mismo nagluto hapunan,cooked dinner,mismo nagluto panihapon
lokohin mundo sabihin katotohanan,want fool world tell truth,binuangan kalibutan isulti kamatuoran
maigi sinulat sinabi aking,carefully wrote everything teacher said,gisulat pagayo giingon magtutudlo
nagsimulang magtrabaho asawa pangangailangan,husband started working necessity,bana nagsugod pagtrabaho tungod panginahanglan
ganoon natuto ingles,thats learned english,ingon ato katon ingles
magaral ibang bansa,want study abroad,magtuon gawas nasud
plinaplano niyang umpisahan negosyo,plans start business,plano magsugod kaugalingon negosyo
mayroon ibang takot,fears,uban kahadlok
kaming basa pawis,drenched sweat,kaming basa singot
pakidilig bulaklak,water flowers,palihug pagpamobo tanom bulak
higit apatnapu,forty,sobra kwarenta
oras nagtatrabaho bawat linggo,many hours work week,oras pagtrabaho matag semana
mapagkakatiwalang tao,trustworthy person,makasaligan tawo
sinasabi sarili,saying,gisulti alang kaugalingon
nakita papauwi,saw way home,nakita pagpauli
umuwi maaga kaunti,go home little early today,mopauli sayo
limuting patayin apoy,dont forget put fire,kalimti pagpalong kalayo
pulong magaganap bukas,meeting take place tomorrow,tigum himuon ugma
lalaki sumipot pintuan,appeared door,lalaki abot pultahan
tingnan bulalakaw,look meteor,tanawa bulalakaw
sulat personal basahin iba,letter personal dont want else read,personal sulat basahon uban
ann maraming kaibigan,ann many friends,ann adunay daghang higala
linisin katulong kwarto pumasok loob carol,maid finished cleaning room carol entered,human limpyo katabang sulod niadtong sulod carol
ingat aso,watch dog,pagbantay aso
kinailangan alagaan sanggol,take care baby,atimanon bata
pakialam,dont care,paki iya
sakaling nais higit impormasyon magdalawangisip tawagan,ever want information dont hesitate call,dugang impormasyon duha duha twagan
sawa kakakain restawran,tired eating restaurants,pul mokaon restawran
nagplantsa sariling damit,ever ironed clothes,giplantsa kaugalingon sinina
malay,unconscious,panimuot
dinilaan tuta pisngi,puppy licked cheek,gitilaan itoy aping
resiping sibuyas,recipe one onion needed,alang resipe sibuyas gikinahanglan
oras umiyak hinto,cried nonstop several hours,hunong hilak oras
grabeng problema,serious problem,kitat dakong problema
sinabi magmaneho mabilis,told drive fast,giingnan magdali drayb
pinaiyak,made cry,gipahilak
nalunod,drowned,nangalumos
aso nakahiga ilalim mesa,dog lying table,iro naghigda ilawom lamesa
nakakalangoy malayo,swim farther,makalangoy layo mahimo
bumiyahe kasama aso,traveled dog companion,iro kauban byahe
pinangako aking aalagan,promised would take care,nisaad ampingan
pagsusulit hapon,exam pm,hapon eksam
kailangang gawin dito,dont,buhaton
tanungin mahirap tanong,dont ask hard question,pangutana lisud pangutana
pigilin,must stop,pugngan
natanggap balita inyong kasal,received news marriage,nadawat namon balita kasal
pera ngunit pagibig,needs money love,kwarta apan gugma
galit nanay,mother angry,nasuko mama
masaya hari,happy king,malipayon sama hari
tagagawa telepono bell meucci,phone manufacturer bell meucci,buhat telepono bell meucci
lumabas napakaginaw,went even though cold,nanggawas bugnaw
napakaganda panahon magbukas bintana,since weather nice open window,tungod matahum panahon mahimo abli bintana
ibinaba ulo hiya,lowered head shame,gipaubos ulo kaulaw
seryosohin bagay higit kaunti,take things little seriously,seryusoha butang samtang pipila palang
lima sampung taon bago maging handa teknolohiya,another five ten years needed technology ready,moabut lima napulo tuig maandam teknolohiya
mangyayari anak magsisimula digmaang nukleyar,happen children nuclear war starts,mahinabo anak magsugod giyera nukleyar
ipinaliwanag proseso,explained process,gipasabut kaniya proseso
nagbukas lata tuna,opened tuna,abrihan lata tuna
ilayo,keep away,ipalayo
sumusuko,give,
mayaman masaya,although rich happy,adunahan malipayon
magpahinga maaninong lugar,lets rest shady place,pahulay malinawon lugar
anino multo,ghosts shadows,bay anino abat
sigurado makakain,sure dont want eat,sigurado mokaon
masama matutulog gabinggabi linggo,theres nothing wrong staying late sunday,makadot matulog kagtungang gabii domingo
umasa tulong ibang tao,rely peoples help,mosalig tabang ubang tawo
ilabas,get us,pagawasa
bukas,something tomorrow,bay buhaton ugma
tumawag sinumang marunong maghapon pakisuyo,call someone speak japanese please,panawag maski kinsang kahibalo hapon palihog
maligayang pagbabalik hanaphanap,welcome back looking,maayong pagbalik gimingaw kanimo
malupit hayop,cruel animals,mangtas hayop
